"SYSTEM","FILE","EXTENSION","GAME NAME","SORT NAME",KIDS MODE"
"Steam","tenfoot","","Launch Big Picture","","Kids"
"Sega_Genesis","Hellfire (U) [!]","bin","Hellfire","","Kids"
"Sega_Genesis","Road Rash 2 (UEJ) [!]","bin","Road Rash 2","","Kids"
"Sega_Genesis","Sonic the Hedgehog 3 (U) [t1]","bin","Sonic the Hedgehog 3","","Kids"
"Sega_Genesis","Streets of Rage (JUE) [!]","bin","Streets of Rage","","Kids"
"Sega_Genesis","Streets of Rage 2 (U) [!]","bin","Streets of Rage 2","","Kids"
"Sega_Genesis","Streets of Rage 3 (E)","bin","Streets of Rage 3","","Kids"
"MAME","mk","zip","Mortal Kombat","",""
"MAME","mk2","zip","Mortal Kombat 2","",""
"MAME","mk3","zip","Mortal Kombat 3","",""
"MAME","umk3","zip","Ultimate Mortal Kombat 3","Mortal Kombat 3, Ultimate",""
"MAME","ffight","zip","Final Fight","","Kids"
"MAME","tmnt","zip","Teenage Mutant Ninja Turtles","Teenage Mutant Ninja Turtles","Kids"
"MAME","tmnt2","zip","TMNT: Turtles in Time","Teenage Mutant Ninja Turtles 2","Kids"
"MAME","frogger","zip","Frogger","","Kids"
"MAME","nbajam","zip","NBA Jam","","Kids"
"MAME","term2","zip","Terminator 2","",""
"MAME","mspacman","zip","Ms Pac-Man","","Kids"
"MAME","pacman","zip","Pac-Man","","Kids"
"MAME","rampage","zip","Rampage","","Kids"
"MAME","simpsons","zip","The Simpsons","","Kids"
"MAME","xmen","zip","X-Men","","Kids"
"Nintendo_NES","Battletoads (U)","zip","Battletoads","","Kids"
"Nintendo_NES","Solstice (U)","nes","Solstice","","Kids"
"Nintendo_NES","Super Mario Bros. (Japan, USA)","nes","Super Mario Brothers","","Kids"
"Nintendo_NES","Super Mario Bros. 2 (U)","nes","Super Mario Brothers 2","","Kids"
"Nintendo_NES","Super Mario Bros. 3 (USA)","nes","Super Mario Brothers 3","","Kids"
"Nintendo_NES","Teenage Mutant Ninja Turtles (U)","nes","TMNT","","Kids"
"Nintendo_NES","Legend of Zelda, The (USA)","nes","The Legend of Zelda","","Kids"
"Nintendo_SNES","Aladdin","smc","Aladdin","","Kids"